"pairId:INTEGER","amzn.id:TEXT","bnn.id:TEXT","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication Year:TEXT","bnn.Pages:INTEGER",
"1","2","1157","9780385537148","Gray Mountain: A Novel","John Grisham","17.37","Doubleday","10/21/2014","384","9780385537148","Gray Mountain","John Grisham","17.71","Knopf Doubleday Publishing Group","10/21/2014","384"
"2","4","2966","9780553805444","The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones (A Song of Ice and Fire)","George R.R. Martin","29.98","Bantam","10/28/2014","336","9780553805444","The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones","George R. R. Martin","30.58","Random House Publishing Group","10/28/2014","336"
"3","6","910","9780525953098","Edge of Eternity: Book Three of The Century Trilogy","Ken Follett","20.72","Dutton Adult","09/16/2014","1120","9780525953098","Edge of Eternity (The Century Trilogy #3)","Ken Follett","21.68","Penguin Group (USA)","9/16/2014","1120"
"4","7","1478","9780345544926","Leaving Time: A Novel","Jodi Picoult","16.8","Ballantine Books","10/14/2014","416","9780345544926","Leaving Time","Jodi Picoult","17.13","Random House Publishing Group","10/14/2014","416"
"5","9","292","9781476746586","All the Light We Cannot See: A Novel","Anthony Doerr","16.2","Scribner","05/06/2014","544","9781476746586","All the Light We Cannot See","Anthony Doerr","16.6","Scribner","5/6/2014","544"
"6","11","2110","9781476770383","Revival: A Novel","Stephen King","18.0","Scribner","11/11/2014","416","9781476770383","Revival","Stephen King","19.48","Scribner","11/11/2014","416"
"7","12","1498","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374187613","Lila","Marilynne Robinson","15.99","Farrar, Straus and Giroux","10/7/2014","272"
"8","13","553","9780425259870","Blood Magick (Cousins O'Dwyer)","Nora Roberts","10.11","Berkley Trade","10/28/2014","336","9780425259870","Blood Magick (Cousins O'Dwyer Trilogy #3)","Nora Roberts","10.21","Penguin Group (USA)","10/28/2014","336"
"9","14","2875","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176"
"10","15","2286","9780399167447","Somewhere Safe with Somebody Good: The New Mitford Novel (A Mitford Novel)","Jan Karon","16.77","Putnam Adult","09/02/2014","528","9780399167447","Somewhere Safe with Somebody Good (Mitford Series #10)","Jan Karon","17.18","Penguin Group (USA)","9/2/2014","528"
"11","16","804","9780399162374","Deadline (A Virgil Flowers Novel)","John Sandford","16.77","Putnam Adult","10/07/2014","400","9780399162374","Deadline (Virgil Flowers Series #8)","John Sandford","20.68","Penguin Group (USA)","10/7/2014","400"
"12","19","1975","9780307962522","Prince Lestat: The Vampire Chronicles","Anne Rice","17.37","Knopf","10/28/2014","480","9780307962522","Prince Lestat (Vampire Chronicles Series #11)","Anne Rice","17.87","Knopf Doubleday Publishing Group","10/28/2014","480"
"13","21","1119","9780345535528","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R.R. Martin","29.81","Bantam","10/29/2013","5216","9780345535528","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R. R. Martin","30.4","Random House Publishing Group","10/29/2013","5216"
"14","25","2935","9781607060765","The Walking Dead:  Compendium One","Robert Kirkman","35.7","Image Comics","05/19/2009","1088","9781607060765","The Walking Dead Compendium, Volume 1","Robert Kirkman","36.41","Image Comics","5/6/2009","1088"
"15","27","607","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","9/29/2014","432"
"16","28","2621","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316055437","The Goldfinch","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","784"
"17","29","633","9780425273869","Captivated By You (A Crossfire Novel)","Sylvia Day","9.99","Berkley Trade","11/18/2014","368","9780425273869","Captivated by You (Crossfire Series #4)","Sylvia Day","10.25","Penguin Group (USA)","11/18/2014","368"
"18","32","2279","9780307700315","Some Luck: A novel","Jane Smiley","16.95","Knopf","10/07/2014","416","9780307700315","Some Luck","Jane Smiley","18.81","Knopf Doubleday Publishing Group","10/7/2014","416"
"19","34","2477","9780446547635","The Best of Me","Nicholas Sparks","7.2","Grand Central Publishing","03/26/2013","368","9780446547635","The Best of Me","Nicholas Sparks","6.39","Grand Central Publishing","3/26/2013","368"
"20","35","2791","9781594633119","The Paying Guests","Sarah Waters","17.37","Riverhead Hardcover","09/16/2014","576","9781594633119","The Paying Guests","Sarah Waters","17.8","Penguin Group (USA)","9/16/2014","576"
"21","39","2640","9781616386108","The Harbinger: The Ancient Mystery That Holds the Secret of America's Future","Jonathan Cahn","8.99","Frontline Pub Inc","01/03/2012","262","9781616386108","The Harbinger: The Ancient Mystery That Holds the Secret of America's Future","Jonathan Cahn","9.17","Charisma Media","1/3/2012","272"
"22","40","2509","9780385539708","The Children Act","Ian McEwan","15.0","Nan A. Talese","09/09/2014","240","9780385539708","The Children Act","Ian McEwan","15.15","Knopf Doubleday Publishing Group","9/9/2014","240"
"23","42","2739","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.74","Simon & Schuster","11/18/2014","272"
"24","45","3109","9780440217565","Voyager (Outlander)","Diana Gabaldon","6.04","Dell","10/01/1994","1104","9780440217565","Voyager (Outlander Series #3)","Diana Gabaldon","9.99","Random House Publishing Group","10/28/1994","1104"
"25","54","1029","9780345804044","Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-volume Boxed Set","E L James","27.99","Vintage","06/12/2012","1625","9780345804044","Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-volume Boxed Set","E L James","27.99","Knopf Doubleday Publishing Group","6/12/2012","1664"
"26","55","1796","9781439138335","Nora Webster: A Novel","Colm Toibin","16.2","Scribner","10/07/2014","384","9781439138335","Nora Webster","Colm Toibin","16.6","Scribner","10/7/2014","384"
"27","56","2327","9780385353304","Station Eleven: A novel","Emily St. John Mandel","15.05","Knopf","09/09/2014","352","9780385353304","Station Eleven","Emily St. John Mandel","15.41","Knopf Doubleday Publishing Group","9/9/2014","352"
"28","57","304","9780307455925","Americanah","Chimamanda Ngozi Adichie","10.0","Anchor","03/04/2014","608","9780307455925","Americanah","Chimamanda Ngozi Adichie","10.09","Knopf Doubleday Publishing Group","3/4/2014","608"
"29","59","2940","9781632150349","The Walking Dead Book 10 HC","Robert Kirkman","23.37","Image Comics","09/09/2014","304","9781632150349","The Walking Dead, Book Ten","Robert Kirkman","23.83","Image Comics","9/9/2014","304"
"30","61","2985","9780452296367","This Is Where I Leave You: A Novel","Jonathan Tropper","9.96","Plume","07/06/2010","352","9780452296367","This Is Where I Leave You: A Novel","Jonathan Tropper","10.05","Penguin Group (USA)","7/6/2010","352"
"31","64","3238","9780385344432","Written in My Own Heart's Blood: A Novel (Outlander)","Diana Gabaldon","22.27","Delacorte Press","06/10/2014","848","9780385344432","Written in My Own Heart's Blood (Outlander Series #8)","Diana Gabaldon","22.82","Random House Publishing Group","6/10/2014","848"
"32","65","3149","9780425247440","What Alice Forgot","Liane Moriarty","8.7","Berkley Trade","04/24/2012","496","9780425247440","What Alice Forgot","Liane Moriarty","9.09","Penguin Group (USA) Incorporated","4/24/2012","496"
"33","70","280","9781476792484","After (The After Series)","Anna Todd","9.6","Gallery Books","10/21/2014","592","9781476792484","After","Anna Todd","10.0","Gallery Books","10/21/2014","592"
"34","73","2468","9781627792103","The Assassination of Margaret Thatcher: Stories","Hilary Mantel","16.2","Henry Holt and Co.","09/30/2014","256","9781627792103","The Assassination of Margaret Thatcher: Stories","Hilary Mantel","16.6","Holt, Henry & Company, Inc.","9/30/2014","256"
"35","74","475","9780385538039","Beautiful You: A Novel","Chuck Palahniuk","16.41","Doubleday","10/21/2014","240","9780385538039","Beautiful You","Chuck Palahniuk","16.82","Knopf Doubleday Publishing Group","10/21/2014","240"
"36","78","2713","9781451681758","The Light Between Oceans: A Novel","M.L. Stedman","9.5","Scribner","04/02/2013","352","9781451681758","The Light Between Oceans","M. L. Stedman","9.59","Scribner","4/2/2013","345"
"37","82","1703","9780553391152","Mr. Miracle: A Christmas Novel","Debbie Macomber","11.88","Ballantine Books","10/07/2014","272","9780553391152","Mr. Miracle: A Christmas Novel","Debbie Macomber","11.88","Random House Publishing Group","10/7/2014","272"
"38","83","32","9780440225805","A Breath of Snow and Ashes (Outlander)","Diana Gabaldon","8.08","Dell","04/29/2008","1488","9780440225805","A Breath of Snow and Ashes (Outlander Series #6)","Diana Gabaldon","9.99","Random House Publishing Group","4/29/2008","1456"
"39","84","1196","9780399172922","Havana Storm (Dirk Pitt Adventure)","Clive Cussler","19.61","Putnam Adult","10/28/2014","464","9780399172922","Havana Storm (Dirk Pitt Series #23)","Clive Cussler","19.8","Penguin Group (USA)","10/28/2014","464"
"40","85","1010","9780451232854","Fall of Giants: Book One of the Century Trilogy","Ken Follett","6.16","Signet","09/04/2012","960","9780451232854","Fall of Giants (The Century Trilogy #1)","Ken Follett","9.99","Penguin Group (USA)","9/4/2012","960"
