"pairId:INTEGER","amzn.id:TEXT","bnn.id:TEXT","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication Year:TEXT","bnn.Pages:INTEGER",
"1","14","2874","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176"
"2","14","2875","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176"
"3","21","1118","9780345535528","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R.R. Martin","29.81","Bantam","10/29/2013","5216","9780345535566","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R. R. Martin","64.8","Random House Publishing Group","10/29/2013","4272"
"4","21","1119","9780345535528","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R.R. Martin","29.81","Bantam","10/29/2013","5216","9780345535528","George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons","George R. R. Martin","30.4","Random House Publishing Group","10/29/2013","5216"
"5","34","2477","9780446547635","The Best of Me","Nicholas Sparks","7.2","Grand Central Publishing","03/26/2013","368","9780446547635","The Best of Me","Nicholas Sparks","6.39","Grand Central Publishing","3/26/2013","368"
"6","35","2791","9781594633119","The Paying Guests","Sarah Waters","17.37","Riverhead Hardcover","09/16/2014","576","9781594633119","The Paying Guests","Sarah Waters","17.8","Penguin Group (USA)","9/16/2014","576"
"7","39","2640","9781616386108","The Harbinger: The Ancient Mystery That Holds the Secret of America's Future","Jonathan Cahn","8.99","Frontline Pub Inc","01/03/2012","262","9781616386108","The Harbinger: The Ancient Mystery That Holds the Secret of America's Future","Jonathan Cahn","9.17","Charisma Media","1/3/2012","272"
"8","40","2509","9780385539708","The Children Act","Ian McEwan","15.0","Nan A. Talese","09/09/2014","240","9780385539708","The Children Act","Ian McEwan","15.15","Knopf Doubleday Publishing Group","9/9/2014","240"
"9","42","2739","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.74","Simon & Schuster","11/18/2014","272"
"10","51","2627","9780743273565","The Great Gatsby","F. Scott Fitzgerald","9.0","Scribner","09/30/2004","180","9780684830421","The Great Gatsby","F. Scott Fitzgerald","18.38","Scribner","6/1/1996","176"
"11","54","1029","9780345804044","Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-volume Boxed Set","E L James","27.99","Vintage","06/12/2012","1625","9780345804044","Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-volume Boxed Set","E L James","27.99","Knopf Doubleday Publishing Group","6/12/2012","1664"
"12","57","303","9780307455925","Americanah","Chimamanda Ngozi Adichie","10.0","Anchor","03/04/2014","608","9780307271082","Americanah","Chimamanda Ngozi Adichie","16.23","Knopf Doubleday Publishing Group","5/14/2013","496"
"13","57","304","9780307455925","Americanah","Chimamanda Ngozi Adichie","10.0","Anchor","03/04/2014","608","9780307455925","Americanah","Chimamanda Ngozi Adichie","10.09","Knopf Doubleday Publishing Group","3/4/2014","608"
