"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:TEXT","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER","label:INTEGER"
"2","11","212","9781476770383","Revival: A Novel","Stephen King","18.0","Scribner","11/11/2014","416","9781476770383","Revival","Stephen King","19.48","Scribner","11/11/2014","416","1"
"3","12","444","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374187613","Lila","Marilynne Robinson","15.99","Farrar, Straus and Giroux","10/7/2014","272","1"
"6","14","1646","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176","1"
"11","28","744","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316055437","The Goldfinch","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","784","1"
"17","46","747","9781476729091","The Rosie Project: A Novel","Graeme Simsion","9.87","Simon & Schuster","06/03/2014","320","9781476738963","We are Called to Rise","Laura McBride","18.14","Simon & Schuster","6/3/2014","320","0"
"19","59","1137","9781632150349","The Walking Dead Book 10 HC","Robert Kirkman","23.37","Image Comics","09/09/2014","304","9781632150349","The Walking Dead, Book Ten","Robert Kirkman","23.83","Image Comics","9/9/2014","304","1"
"20","70","2019","9781476792484","After (The After Series)","Anna Todd","9.6","Gallery Books","10/21/2014","592","9781476792484","After","Anna Todd","10.0","Gallery Books","10/21/2014","592","1"
"28","107","1817","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476749785","One Kick (Kick Lannigan Series #1)","Chelsea Cain","16.63","Simon & Schuster","8/19/2014","320","0"
"30","116","1320","9781401324810","Raging Heat (Nikki Heat)","Richard Castle","15.51","Kingswell","09/16/2014","304","9781401324810","Raging Heat (Nikki Heat Series #6)","Richard Castle","15.51","Kingswell","9/16/2014","304","1"
"33","123","1751","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","1"
"38","143","1110","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","8/26/2014","336","1"
"45","156","2245","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/7/2014","352","1"
"46","156","2329","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"50","197","1573","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/7/2014","288","0"
"61","219","1912","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","7.99","Signet","10/7/2014","336","0"
"65","222","2245","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/7/2014","352","0"
"66","222","2329","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"67","222","2731","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672","0"
"74","255","591","9781439153666","The Kitchen House: A Novel","Kathleen Grissom","10.82","Touchstone","02/02/2010","384","9781439153666","The Kitchen House","Kathleen Grissom","10.92","Touchstone","2/2/2010","384","1"
"78","258","3182","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455573073","The End of Always: A Novel","Randi Davenport","17.5","Grand Central Publishing","5/6/2014","336","0"
"81","270","1743","9780316376112","Winter Street","Elin Hilderbrand","22.5","Little, Brown and Company","10/14/2014","256","9780316074292","The Luminaries","Eleanor Catton","11.7","Little, Brown and Company","10/7/2014","864","0"
"87","293","1918","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9781250020055","The Perfect Witness","Iris Johansen","20.51","St. Martin's Press","9/30/2014","352","1"
"88","293","2575","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9781250054531","Accused (Rosato & Associates Series #12)","Lisa Scottoline","12.28","St. Martin's Press","9/9/2014","384","0"
"93","358","1750","9781607067986","The Walking Dead Book 9","Robert Kirkman","24.53","Image Comics","09/17/2013","336","9781607067986","The Walking Dead, Book Nine","Robert Kirkman","25.02","Image Comics","9/17/2013","336","1"
"95","363","1067","9780756408992","Closer to Home: Book One of Herald Spy (The Herald Spy)","Mercedes Lackey","16.41","DAW Hardcover","10/07/2014","368","9780756408992","Closer to Home: Book One of Herald Spy","Mercedes Lackey","16.73","DAW Hardcover","10/7/2014","368","1"
"96","363","1646","9780756408992","Closer to Home: Book One of Herald Spy (The Herald Spy)","Mercedes Lackey","16.41","DAW Hardcover","10/07/2014","368","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176","0"
"101","397","2527","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","6.0","Signet","10/07/2014","336","9780451416315","One Potion in the Grave: A Magic Potion Mystery","Heather Blake","7.99","Signet","10/7/2014","336","0"
"104","415","732","9780316230070","So We Read On: How The Great Gatsby Came to Be and Why It Endures","Maureen Corrigan","23.4","Little, Brown and Company","09/09/2014","352","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","9/29/2014","432","0"
"105","415","1201","9780316230070","So We Read On: How The Great Gatsby Came to Be and Why It Endures","Maureen Corrigan","23.4","Little, Brown and Company","09/09/2014","352","9780316228596","The Casual Vacancy","J. K. Rowling","8.5","Little, Brown and Company","9/30/2014","656","0"
"111","441","3034","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","06/23/2014","432","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","6/23/2014","432","1"
"114","442","2850","9780316033978","To Rise Again at a Decent Hour: A Novel","Joshua Ferris","15.6","Little, Brown and Company","05/13/2014","352","9780316230841","We Need New Names","NoViolet Bulawayo","11.99","Little, Brown and Company","5/20/2014","320","0"
"115","477","1607","9781250037756","Mr. Penumbra's 24-Hour Bookstore: A Novel","Robin Sloan","8.52","Picador","09/24/2013","304","9781250037756","Mr. Penumbra's 24-Hour Bookstore: A Novel","Robin Sloan","8.6","Picador","9/24/2013","304","1"
"117","514","734","9781476779720","Change of Heart","Jude Deveraux","6.0","Pocket Books","10/21/2014","400","9781476790589","Christopher's Diary: Secrets of Foxworth","V. C. Andrews","7.99","Pocket Books","10/28/2014","352","0"
"125","574","546","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455521180","The Target (Will Robie Series #3)","David Baldacci","11.84","Grand Central Publishing","9/16/2014","464","0"
"129","574","2948","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455551859","Ring in the Holidays","Katie Lane","5.1","Grand Central Publishing","9/30/2014","368","0"
"131","600","2510","9780544106000","The Best American Comics 2014","Scott McCloud","19.53","Houghton Mifflin Harcourt","10/07/2014","400","9780547868868","The Best American Short Stories 2014","Jennifer Egan (Editor)","9.63","Houghton Mifflin Harcourt","10/7/2014","384","0"
"132","629","2","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250046635","Virtually Human: The Promise---and the Peril---of Digital Immortality","Martine Rothblatt","20.53","St. Martin's Press","9/9/2014","368","0"
"140","635","2731","9781250052001","Full Measure: A Novel","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672","0"
"148","665","2329","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"150","679","287","9781250024176","Bring Up the Bodies (Wolf Hall, Book 2)","Hilary Mantel","9.07","Picador","05/07/2013","432","9781250024176","Bring Up the Bodies","Hilary Mantel","9.16","Picador","5/7/2013","432","1"
"157","726","366","9780451417060","The King: A Novel of the Black Dagger Brotherhood","J.R. Ward","5.78","Signet","08/26/2014","640","9780451468222","Winter of the World (The Century Trilogy #2)","Ken Follett","9.99","Signet","8/26/2014","928","0"
"159","732","472","9781455519149","Egghead: Or, You Can't Survive on Ideas Alone","Bo Burnham","22.0","Grand Central Publishing","10/01/2013","240","9781455578313","This Man","Jodi Ellen Malpas","11.99","Grand Central Publishing","10/22/2013","480","0"
"161","732","3141","9781455519149","Egghead: Or, You Can't Survive on Ideas Alone","Bo Burnham","22.0","Grand Central Publishing","10/01/2013","240","9780446571777","Private: #1 Suspect","James Patterson","7.99","Grand Central Publishing","10/29/2013","416","0"
"163","739","1817","9781476755410","Bittersweet: A Novel","Colleen McCullough","19.71","Simon & Schuster","08/19/2014","384","9781476749785","One Kick (Kick Lannigan Series #1)","Chelsea Cain","16.63","Simon & Schuster","8/19/2014","320","0"
"164","773","229","9781476753188","Ugly Love: A Novel","Colleen Hoover","11.22","Atria Books","08/05/2014","336","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","8/12/2014","400","0"
"165","773","1110","9781476753188","Ugly Love: A Novel","Colleen Hoover","11.22","Atria Books","08/05/2014","336","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","8/26/2014","336","0"
"172","776","2016","9781607064398","The Walking Dead, Book 7","Robert Kirkman","23.79","Image Comics","10/18/2011","304","9781607064398","The Walking Dead, Book Seven","Robert Kirkman","24.02","Image Comics","10/31/2011","304","1"
"174","783","519","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455529285","Slow Satisfaction","Cecilia Tan","7.0","Grand Central Publishing","8/26/2014","336","0"
"176","797","2135","9781607061717","The Walking Dead Book 5","Robert Kirkman","23.79","Image Comics","05/18/2010","304","9781607061717","The Walking Dead, Book Five","Robert Kirkman","24.02","Image Comics","5/11/2010","304","1"
