"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER","label:INTEGER"
"2","11","212","9781476770383","Revival: A Novel","Stephen King","18.0","Scribner","11/11/2014","416","9781476770383","Revival","Stephen King","19.48","Scribner","11/11/2014","416","1"
"3","12","444","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374187613","Lila","Marilynne Robinson","15.99","Farrar, Straus and Giroux","10/07/2014","272","1"
"5","14","1067","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756408992","Closer to Home: Book One of Herald Spy","Mercedes Lackey","16.73","DAW Hardcover","10/07/2014","368","0"
"11","28","744","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316055437","The Goldfinch","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","784","1"
"15","42","367","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476763125","The Cinderella Murder (Under Suspicion Series #1)","Mary Higgins Clark","19.58","Simon & Schuster","11/18/2014","320","0"
"18","55","1004","9781439138335","Nora Webster: A Novel","Colm Toibin","16.2","Scribner","10/07/2014","384","9781439138335","Nora Webster","Colm Toibin","16.6","Scribner","10/07/2014","384","1"
"21","78","1604","9781451681758","The Light Between Oceans: A Novel","M.L. Stedman","9.5","Scribner","04/02/2013","352","9781451681758","The Light Between Oceans","M. L. Stedman","9.59","Scribner","04/02/2013","345","1"
"23","102","366","9780451468222","Winter of the World: Book Two of the Century Trilogy","Ken Follett","8.13","Signet","08/26/2014","928","9780451468222","Winter of the World (The Century Trilogy #2)","Ken Follett","9.99","Signet","08/26/2014","928","1"
"27","107","1232","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476756660","We Are Not Ourselves","Matthew Thomas","17.22","Simon & Schuster","08/19/2014","640","1"
"36","140","64","9781555976903","Citizen: An American Lyric","Claudia Rankine","12.46","Graywolf Press","10/07/2014","160","9781555976903","Citizen: An American Lyric","Claudia Rankine","12.71","Graywolf Press","10/07/2014","160","1"
"47","156","2731","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672","0"
"48","170","1855","9781439187036","A Sudden Light: A Novel","Garth Stein","18.86","Simon & Schuster","09/30/2014","416","9781439187036","A Sudden Light","Garth Stein","19.33","Simon & Schuster","09/30/2014","416","1"
"50","197","1573","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","0"
"55","201","519","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455529285","Slow Satisfaction","Cecilia Tan","7.0","Grand Central Publishing","08/26/2014","336","0"
"58","208","2546","9780743297332","The Sun Also Rises","Ernest Hemingway","8.48","Scribner","10/17/2006","251","9780743297332","The Sun Also Rises","Ernest Hemingway","9.14","Scribner","10/17/2006","256","1"
"59","217","470","9780684801223","The Old Man and The Sea","Ernest Hemingway","6.78","Scribner","05/05/1995","128","9780684801223","The Old Man and the Sea","Ernest Hemingway","7.05","Scribner","05/28/1995","128","1"
"65","222","2245","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","0"
"66","222","2329","9781250010650","The Christmas Light","Donna VanLiere","13.48","St. Martin's Press","10/14/2014","224","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"71","246","1361","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384","1"
"73","254","2013","9781451698855","Doctor Sleep","Stephen King","13.6","Gallery Books","06/10/2014","560","9781476766669","Rusty Nailed (Cocktail Series #2)","Alice Clayton","11.07","Gallery Books","06/24/2014","320","0"
"79","269","2069","9781451626650","Catch-22: 50th Anniversary Edition","Joseph Heller","10.52","Simon & Schuster","04/05/2011","544","9781416596585","In the Plex: How Google Thinks, Works, and Shapes Our Lives","Steven Levy","0.0","Simon & Schuster","04/12/2011","432","0"
"81","270","1743","9780316376112","Winter Street","Elin Hilderbrand","22.5","Little, Brown and Company","10/14/2014","256","9780316074292","The Luminaries","Eleanor Catton","11.7","Little, Brown and Company","10/07/2014","864","0"
"84","290","2326","9780544173767","The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure","William Goldman","19.53","Houghton Mifflin Harcourt","11/05/2013","496","9780544173767","The Princess Bride: An Illustrated Edition of S. Morgenstern's Classic Tale of True Love and High Adventure","William Goldman","19.92","Houghton Mifflin Harcourt","11/05/2013","496","1"
"86","293","1591","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9780312616267","The Blood of an Englishman (Agatha Raisin Series #25)","M. C. Beaton","18.8","St. Martin's Press","09/16/2014","304","0"
"90","309","1615","9780316246620","Ancillary Justice (Imperial Radch)","Ann Leckie","15.0","Orbit","10/01/2013","416","9780316254199","Black Butler, Volume 15","Yana Toboso (Created by)","9.75","Orbit","10/29/2013","176","0"
"92","325","1685","9781250027702","Betrayed: A Rosato & DiNunzio Novel","Lisa Scottoline","17.7","St. Martin's Press","11/25/2014","352","9781250027702","Betrayed (Rosato & Associates Series #13)","Lisa Scottoline","17.87","St. Martin's Press","11/25/2014","352","1"
"97","366","1004","9781476784328","The Girl Next Door: A Novel","Ruth Rendell","14.94","Scribner","10/07/2014","288","9781439138335","Nora Webster","Colm Toibin","16.6","Scribner","10/07/2014","384","0"
"98","394","141","9781612183954","Pines (The Wayward Pines Trilogy Book 1)","Blake Crouch","11.99","Thomas & Mercer","08/21/2012","320","9781612183954","Pines","Blake Crouch","11.93","Thomas & Mercer","08/21/2012","319","1"
"100","397","1912","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","6.0","Signet","10/07/2014","336","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","7.99","Signet","10/07/2014","336","1"
"104","415","732","9780316230070","So We Read On: How The Great Gatsby Came to Be and Why It Endures","Maureen Corrigan","23.4","Little, Brown and Company","09/09/2014","352","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","0"
"117","514","734","9781476779720","Change of Heart","Jude Deveraux","6.0","Pocket Books","10/21/2014","400","9781476790589","Christopher's Diary: Secrets of Foxworth","V. C. Andrews","7.99","Pocket Books","10/28/2014","352","0"
"118","521","1558","9780312427290","The Red Tent: A Novel","Anita Diamant","10.27","Picador","08/21/2007","352","9780312427290","Red Tent (10th Anniversary Edition)","Anita Diamant","10.49","Picador","08/21/2007","352","1"
"124","556","700","9781421575865","Princess Mononoke: The First Story","Hayao Miyazaki","22.13","VIZ Media LLC","10/21/2014","104","9781421573915","Vampire Knight, Vol. 19","Matsuri Hino","9.99","VIZ Media LLC","10/14/2014","208","0"
"125","574","546","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455521180","The Target (Will Robie Series #3)","David Baldacci","11.84","Grand Central Publishing","09/16/2014","464","0"
"132","629","2","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250046635","Virtually Human: The Promise---and the Peril---of Digital Immortality","Martine Rothblatt","20.53","St. Martin's Press","09/09/2014","368","0"
"135","629","2575","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250054531","Accused (Rosato & Associates Series #12)","Lisa Scottoline","12.28","St. Martin's Press","09/09/2014","384","0"
"139","635","2329","9781250052001","Full Measure: A Novel","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"142","655","421","9781455553617","Reunion: A Novel","Hannah Pittard","22.5","Grand Central Publishing","10/07/2014","288","9781455553617","Reunion: A Novel","Hannah Pittard","21.25","Grand Central Publishing","10/07/2014","288","1"
"143","655","623","9781455553617","Reunion: A Novel","Hannah Pittard","22.5","Grand Central Publishing","10/07/2014","288","9781455529544","One in a Million (Lucky Harbor Series #12)","Jill Shalvis","6.4","Grand Central Publishing","10/14/2014","352","0"
"145","656","1231","9781416586296","Half Broke Horses: A True-Life Novel","Jeannette Walls","9.69","Scribner","09/07/2010","272","9781416586296","Half Broke Horses: A True-Life Novel","Jeannette Walls","9.78","Scribner","09/07/2010","288","1"
"155","714","2504","9781476783598","Halo: Broken Circle","John Shirley","10.12","Gallery Books","11/04/2014","352","9781476792491","After We Collided","Anna Todd","10.25","Gallery Books","11/18/2014","688","0"
"157","726","366","9780451417060","The King: A Novel of the Black Dagger Brotherhood","J.R. Ward","5.78","Signet","08/26/2014","640","9780451468222","Winter of the World (The Century Trilogy #2)","Ken Follett","9.99","Signet","08/26/2014","928","0"
"159","732","472","9781455519149","Egghead: Or, You Can't Survive on Ideas Alone","Bo Burnham","22.0","Grand Central Publishing","10/01/2013","240","9781455578313","This Man","Jodi Ellen Malpas","11.99","Grand Central Publishing","10/22/2013","480","0"
"168","774","229","9781476749235","Windigo Island: A Novel (Cork O'Connor Mystery Series)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400","0"
"172","776","2016","9781607064398","The Walking Dead, Book 7","Robert Kirkman","23.79","Image Comics","10/18/2011","304","9781607064398","The Walking Dead, Book Seven","Robert Kirkman","24.02","Image Comics","10/31/2011","304","1"
"179","798","1584","9781476703398","Paw and Order: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series)","Spencer Quinn","18.14","Atria Books","08/05/2014","320","9781476749235","Windigo Island (Cork O'Connor Series #14)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","0"
"183","827","1573","9781250048264","Bathing the Lion","Jonathan Carroll","16.43","St. Martin's Press","10/21/2014","288","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","0"
"193","836","2786","9781455575992","The Gods of Guilt (A Lincoln Lawyer Novel)","Michael Connelly","15.0","Grand Central Publishing","05/06/2014","416","9781455575992","The Gods of Guilt (Mickey Haller Series #5)","Michael Connelly","10.49","Grand Central Publishing","05/06/2014","416","1"
"199","840","2324","9781586638474","Julius Caesar (No Fear Shakespeare)","SparkNotes","5.65","SparkNotes","07/03/2003","256","9781586638528","Othello (No Fear Shakespeare)","SparkNotes","5.95","SparkNotes","07/15/2003","320","0"
