"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER","label:INTEGER"
"1","9","528","9781476746586","All the Light We Cannot See: A Novel","Anthony Doerr","16.2","Scribner","05/06/2014","544","9781476746586","All the Light We Cannot See","Anthony Doerr","16.6","Scribner","05/06/2014","544","1"
"2","11","212","9781476770383","Revival: A Novel","Stephen King","18.0","Scribner","11/11/2014","416","9781476770383","Revival","Stephen King","19.48","Scribner","11/11/2014","416","1"
"3","12","444","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374187613","Lila","Marilynne Robinson","15.99","Farrar, Straus and Giroux","10/07/2014","272","1"
"4","12","2684","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374534820","How Architecture Works: A Humanist's Toolkit","Witold Rybczynski","12.17","Farrar, Straus and Giroux","10/07/2014","368","0"
"5","14","1067","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756408992","Closer to Home: Book One of Herald Spy","Mercedes Lackey","16.73","DAW Hardcover","10/07/2014","368","0"
"6","14","1646","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.37","DAW Hardcover","10/28/2014","176","9780756410438","The Slow Regard of Silent Things","Patrick Rothfuss","11.59","DAW Hardcover","10/28/2014","176","1"
"7","25","2153","9781607060765","The Walking Dead:  Compendium One","Robert Kirkman","35.7","Image Comics","05/19/2009","1088","9781607060765","The Walking Dead Compendium, Volume 1","Robert Kirkman","36.41","Image Comics","05/06/2009","1088","1"
"8","27","732","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","1"
"9","27","1201","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316228596","The Casual Vacancy","J. K. Rowling","8.5","Little, Brown and Company","09/30/2014","656","0"
"10","27","2114","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316370134","Neverhome","Laird Hunt","19.99","Little, Brown and Company","09/09/2014","256","0"
"11","28","744","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316055437","The Goldfinch","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","784","1"
"12","28","1342","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316201643","S.","J. J. Abrams (Created by)","23.99","Little, Brown and Company","10/29/2013","472","0"
"13","34","1488","9780446547635","The Best of Me","Nicholas Sparks","7.2","Grand Central Publishing","03/26/2013","368","9780446547635","The Best of Me","Nicholas Sparks","6.39","Grand Central Publishing","03/26/2013","368","1"
"14","41","1496","9781607065968","The Walking Dead: Compendium Two","Robert Kirkman","39.26","Image Comics","10/16/2012","1068","9781607065937","The Walking Dead, Book Eight","Robert Kirkman","23.26","Image Comics","10/02/2012","336","0"
"15","42","367","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476763125","The Cinderella Murder (Under Suspicion Series #1)","Mary Higgins Clark","19.58","Simon & Schuster","11/18/2014","320","0"
"16","42","1766","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.74","Simon & Schuster","11/18/2014","272","1"
"17","46","747","9781476729091","The Rosie Project: A Novel","Graeme Simsion","9.87","Simon & Schuster","06/03/2014","320","9781476738963","We are Called to Rise","Laura McBride","18.14","Simon & Schuster","06/03/2014","320","0"
"18","55","1004","9781439138335","Nora Webster: A Novel","Colm Toibin","16.2","Scribner","10/07/2014","384","9781439138335","Nora Webster","Colm Toibin","16.6","Scribner","10/07/2014","384","1"
"19","59","1137","9781632150349","The Walking Dead Book 10 HC","Robert Kirkman","23.37","Image Comics","09/09/2014","304","9781632150349","The Walking Dead, Book Ten","Robert Kirkman","23.83","Image Comics","09/09/2014","304","1"
"20","70","2019","9781476792484","After (The After Series)","Anna Todd","9.6","Gallery Books","10/21/2014","592","9781476792484","After","Anna Todd","10.0","Gallery Books","10/21/2014","592","1"
"21","78","1604","9781451681758","The Light Between Oceans: A Novel","M.L. Stedman","9.5","Scribner","04/02/2013","352","9781451681758","The Light Between Oceans","M. L. Stedman","9.59","Scribner","04/02/2013","345","1"
"22","87","2477","9781476754451","Mr. Mercedes: A Novel","Stephen King","18.0","Scribner","06/03/2014","448","9781451661545","The Silver Star","Jeannette Walls","10.62","Scribner","06/03/2014","304","0"
"23","102","366","9780451468222","Winter of the World: Book Two of the Century Trilogy","Ken Follett","8.13","Signet","08/26/2014","928","9780451468222","Winter of the World (The Century Trilogy #2)","Ken Follett","9.99","Signet","08/26/2014","928","1"
"24","103","1009","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","16.9","Viking Adult","10/21/2014","192","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","19.45","Viking Adult","10/16/2014","320","0"
"25","103","1288","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","16.9","Viking Adult","10/21/2014","192","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","17.19","Viking Adult","10/21/2014","192","1"
"26","103","1751","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","16.9","Viking Adult","10/21/2014","192","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","0"
"27","107","1232","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476756660","We Are Not Ourselves","Matthew Thomas","17.22","Simon & Schuster","08/19/2014","640","1"
"28","107","1817","9781476756660","We Are Not Ourselves: A Novel","Matthew Thomas","16.8","Simon & Schuster","08/19/2014","640","9781476749785","One Kick (Kick Lannigan Series #1)","Chelsea Cain","16.63","Simon & Schuster","08/19/2014","320","0"
"29","109","3169","9780312424404","Gilead: A Novel","Marilynne Robinson","9.29","Picador","01/10/2006","247","9780312424404","Gilead","Marilynne Robinson","9.38","Picador","01/10/2006","256","1"
"30","116","1320","9781401324810","Raging Heat (Nikki Heat)","Richard Castle","15.51","Kingswell","09/16/2014","304","9781401324810","Raging Heat (Nikki Heat Series #6)","Richard Castle","15.51","Kingswell","09/16/2014","304","1"
"31","123","1009","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","19.45","Viking Adult","10/16/2014","320","0"
"32","123","1288","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","17.19","Viking Adult","10/21/2014","192","0"
"33","123","1751","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","9780670026067","The Republic of Imagination: America in Three Books","Azar Nafisi","20.99","Viking Adult","10/21/2014","352","1"
"34","124","789","9780670025596","The Book of Life: A Novel (All Souls Trilogy)","Deborah Harkness","17.26","Viking Adult","07/15/2014","576","9780525426684","The Hundred-Year House","Rebecca Makkai","18.78","Viking Adult","07/10/2014","352","0"
"35","124","1564","9780670025596","The Book of Life: A Novel (All Souls Trilogy)","Deborah Harkness","17.26","Viking Adult","07/15/2014","576","9780670025596","The Book of Life (All Souls Trilogy #3)","Deborah Harkness","17.69","Viking Adult","07/15/2014","576","1"
"36","140","64","9781555976903","Citizen: An American Lyric","Claudia Rankine","12.46","Graywolf Press","10/07/2014","160","9781555976903","Citizen: An American Lyric","Claudia Rankine","12.71","Graywolf Press","10/07/2014","160","1"
"37","143","229","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476702995","The House We Grew Up In","Lisa Jewell","16.56","Atria Books","08/12/2014","400","0"
"38","143","1110","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","08/26/2014","336","1"
"39","143","1584","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476749235","Windigo Island (Cork O'Connor Series #14)","William Kent Krueger","16.75","Atria Books","08/19/2014","352","0"
"40","143","2466","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","08/12/2014","432","0"
"41","148","367","9781476763125","The Cinderella Murder: An Under Suspicion Novel","Mary Higgins Clark","19.47","Simon & Schuster","11/18/2014","320","9781476763125","The Cinderella Murder (Under Suspicion Series #1)","Mary Higgins Clark","19.58","Simon & Schuster","11/18/2014","320","1"
"42","148","1766","9781476763125","The Cinderella Murder: An Under Suspicion Novel","Mary Higgins Clark","19.47","Simon & Schuster","11/18/2014","320","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.74","Simon & Schuster","11/18/2014","272","0"
"43","155","2674","9781451643534","Ruth's Journey: The Authorized Novel of Mammy from Margaret Mitchell's Gone with the Wind","Donald McCaig","16.45","Atria Books","10/14/2014","384","9781451643534","Ruth's Journey: The Authorized Novel of Mammy from Margaret Mitchell's Gone with the Wind","Donald McCaig","16.86","Atria Books","10/14/2014","384","1"
"44","156","1573","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","0"
"45","156","2245","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","1"
"46","156","2329","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","0"
"47","156","2731","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672","0"
"48","170","1855","9781439187036","A Sudden Light: A Novel","Garth Stein","18.86","Simon & Schuster","09/30/2014","416","9781439187036","A Sudden Light","Garth Stein","19.33","Simon & Schuster","09/30/2014","416","1"
"49","190","2510","9780544445789","The Hobbit and The Lord of the Rings: Deluxe Pocket Boxed Set","J.R.R. Tolkien","32.56","Houghton Mifflin Harcourt","10/21/2014","1504","9780547868868","The Best American Short Stories 2014","Jennifer Egan (Editor)","9.63","Houghton Mifflin Harcourt","10/07/2014","384","0"
"50","197","1573","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250052001","Full Measure","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","0"
"51","197","2245","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","0"
"52","197","2329","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250045645","Seventh Grave and No Body (Charley Davidson Series #7)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","1"
"53","197","2731","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250054951","Anything He Wants & Castaway","Sara Fawkes","11.11","St. Martin's Press","10/21/2014","672","0"
"54","201","123","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455520091","A Love to Call Her Own","Marilyn Pappano","6.4","Grand Central Publishing","08/26/2014","400","0"
"55","201","519","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455529285","Slow Satisfaction","Cecilia Tan","7.0","Grand Central Publishing","08/26/2014","336","0"
"56","201","1361","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","08/26/2014","384","0"
"57","207","1620","9780312428549","Home: A Novel","Marilynne Robinson","9.34","Picador","09/01/2009","336","9780312428549","Home","Marilynne Robinson","9.62","Picador","09/01/2009","336","1"
"58","208","2546","9780743297332","The Sun Also Rises","Ernest Hemingway","8.48","Scribner","10/17/2006","251","9780743297332","The Sun Also Rises","Ernest Hemingway","9.14","Scribner","10/17/2006","256","1"
"59","217","470","9780684801223","The Old Man and The Sea","Ernest Hemingway","6.78","Scribner","05/05/1995","128","9780684801223","The Old Man and the Sea","Ernest Hemingway","7.05","Scribner","05/28/1995","128","1"
"60","219","350","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451468178","Rasputin's Shadow","Raymond Khoury","9.99","Signet","10/07/2014","528","0"
"61","219","1912","9780451469663","Only Enchanting: A Survivors' Club Novel","Mary Balogh","5.53","Signet","10/28/2014","400","9780451414717","A Midwinter's Tail: A Magical Cats Mystery","Sofie Kelly","7.99","Signet","10/07/2014","336","0"
