"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:TEXT","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication_date:TEXT","bnn.Pages:INTEGER"
"3","12","444","9780374187613","Lila: A Novel","Marilynne Robinson","15.6","Farrar, Straus and Giroux","10/07/2014","272","9780374187613","Lila","Marilynne Robinson","15.99","Farrar, Straus and Giroux","10/07/2014","272"
"9","27","1201","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316228596","The Casual Vacancy","J. K. Rowling","8.5","Little, Brown and Company","09/30/2014","656"
"10","27","2114","9780316211048","Burn (Michael Bennett)","James Patterson","16.8","Little, Brown and Company","09/29/2014","432","9780316370134","Neverhome","Laird Hunt","19.99","Little, Brown and Company","09/09/2014","256"
"13","34","1488","9780446547635","The Best of Me","Nicholas Sparks","7.2","Grand Central Publishing","03/26/2013","368","9780446547635","The Best of Me","Nicholas Sparks","6.39","Grand Central Publishing","03/26/2013","368"
"14","41","1496","9781607065968","The Walking Dead: Compendium Two","Robert Kirkman","39.26","Image Comics","10/16/2012","1068","9781607065937","The Walking Dead, Book Eight","Robert Kirkman","23.26","Image Comics","10/02/2012","336"
"16","42","1766","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.48","Simon & Schuster","11/18/2014","272","9781476728209","The Mistletoe Promise","Richard Paul Evans","13.74","Simon & Schuster","11/18/2014","272"
"18","55","1004","9781439138335","Nora Webster: A Novel","Colm Toibin","16.2","Scribner","10/07/2014","384","9781439138335","Nora Webster","Colm Toibin","16.6","Scribner","10/07/2014","384"
"20","70","2019","9781476792484","After (The After Series)","Anna Todd","9.6","Gallery Books","10/21/2014","592","9781476792484","After","Anna Todd","10.0","Gallery Books","10/21/2014","592"
"22","87","2477","9781476754451","Mr. Mercedes: A Novel","Stephen King","18.0","Scribner","06/03/2014","448","9781451661545","The Silver Star","Jeannette Walls","10.62","Scribner","06/03/2014","304"
"24","103","1009","9780525427919","Wait for Signs: Twelve Longmire Stories","Craig Johnson","16.9","Viking Adult","10/21/2014","192","9780525427247","First Impressions: A Novel of Old Books, Unexpected Love, and Jane Austen","Charlie Lovett","19.45","Viking Adult","10/16/2014","320"
