"pairId:INTEGER","amzn.id:INTEGER","bnn.id:INTEGER","amzn.ISBN_13:INTEGER","amzn.Title:TEXT","amzn.Author:TEXT","amzn.Price:FLOAT","amzn.Publisher:TEXT","amzn.Publication_date:TEXT","amzn.Pages:INTEGER","bnn.ISBN_13:TEXT","bnn.Title:TEXT","bnn.Author:TEXT","bnn.Price:FLOAT","bnn.Publisher:TEXT","bnn.Publication Year:TEXT","bnn.Pages:INTEGER",
"2","5","1789","9780544272996","What If?: Serious Scientific Answers to Absurd Hypothetical Questions","Randall Munroe","14.4","Houghton Mifflin Harcourt","09/02/2014","320","9780544442788","Beowulf: A Translation and Commentary","J. R. R. Tolkien","18.43","Houghton Mifflin Harcourt","5/22/2014","448"
"40","28","754","9780316055437","The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists)","Donna Tartt","17.95","Little, Brown and Company","10/22/2013","775","9780316399531","Merry Christmas, Alex Cross (Alex Cross Series #19)","James Patterson","14.0","Little, Brown and Company","11/5/2013","352"
"44","30","757","9780446310789","To Kill a Mockingbird","Harper Lee","4.94","Grand Central Publishing","10/11/1988","384","9780446357425","If Tomorrow Comes","Sidney Sheldon","6.35","Grand Central Publishing","11/28/1988","416"
"103","77","1762","9780670026326","The Secret Place (Dublin Murder Squad)","Tana French","16.06","Viking Adult","09/02/2014","464","9780670026081","Virtual Unreality: Just Because the Internet Told You, How Do You Know It's True?","Charles Seife","17.89","Viking Adult","6/26/2014","256"
"113","102","49","9780451468222","Winter of the World: Book Two of the Century Trilogy","Ken Follett","8.13","Signet","08/26/2014","928","9780451467393","Thread End (Embroidery Mystery Series #7)","Amanda Lee","7.99","Signet","6/3/2014","336"
"141","110","2450","9780374292089","Wolf in White Van: A Novel","John Darnielle","15.56","Farrar, Straus and Giroux","09/16/2014","224","9780374534158","My Struggle, Book Two: A Man in Love","Karl Ove Knausgaard","12.06","Farrar, Straus and Giroux","6/3/2014","608"
"169","143","2674","9781476748047","Zane's Addicted: A Novel","Zane","9.58","Atria Books","08/26/2014","336","9781451643534","Ruth's Journey: The Authorized Novel of Mammy from Margaret Mitchell's Gone with the Wind","Donald McCaig","16.86","Atria Books","10/14/2014","384"
"189","156","476","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/07/2014","352","9781250041043","Fatal Enquiry (Barker & Llewelyn Series #6)","Will Thomas","19.11","St. Martin's Press","5/13/2014","304"
"246","197","382","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250049001","Always Watching","Chevy Stevens","12.07","St. Martin's Press","5/6/2014","368"
"251","197","767","9781250045645","Seventh Grave and No Body (Charley Davidson)","Darynda Jones","16.73","St. Martin's Press","10/21/2014","336","9781250049995","The Walking Dead: The Road to Woodbury","Robert Kirkman","7.99","St. Martin's Press","4/29/2014","352"
"279","201","421","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455553617","Reunion: A Novel","Hannah Pittard","21.25","Grand Central Publishing","10/7/2014","288"
"291","201","1636","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455556656","Moonlight Raider","Amanda Scott","6.8","Grand Central Publishing","9/30/2014","400"
"303","201","2552","9781455581122","Mean Streak","Sandra Brown","23.4","Grand Central Publishing","08/19/2014","416","9781455550784","Split Second (Sean King and Michelle Maxwell Series #1)","David Baldacci","11.99","Grand Central Publishing","3/25/2014","432"
"315","210","2551","9780743477123","Hamlet ( Folger Library Shakespeare)","William Shakespeare","4.77","Simon & Schuster","07/01/2003","342","9780743477567","The Merchant of Venice (Folger Shakespeare Library Series)","William Shakespeare","5.99","Simon & Schuster","12/23/2003","288"
"416","254","2019","9781451698855","Doctor Sleep","Stephen King","13.6","Gallery Books","06/10/2014","560","9781476792484","After","Anna Todd","10.0","Gallery Books","10/21/2014","592"
"441","258","2115","9781455520640","The Longest Ride","Nicholas Sparks","13.5","Grand Central Publishing","05/06/2014","416","9781455520633","The Longest Ride","Nicholas Sparks","6.8","Grand Central Publishing","9/30/2014","496"
"506","293","1424","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9781250043399","Invisible City","Julia Dahl","18.47","St. Martin's Press","5/6/2014","304"
"507","293","1510","9781250020055","The Perfect Witness: A Novel","Iris Johansen","19.01","St. Martin's Press","09/30/2014","352","9781250014504","That Summer","Lauren Willig","18.11","St. Martin's Press","6/3/2014","352"
"536","325","2","9781250027702","Betrayed: A Rosato & DiNunzio Novel","Lisa Scottoline","17.7","St. Martin's Press","11/25/2014","352","9781250046635","Virtually Human: The Promise---and the Peril---of Digital Immortality","Martine Rothblatt","20.53","St. Martin's Press","9/9/2014","368"
"545","325","1116","9781250027702","Betrayed: A Rosato & DiNunzio Novel","Lisa Scottoline","17.7","St. Martin's Press","11/25/2014","352","9781250042651","Her Last Breath (Kate Burkholder Series #5)","Linda Castillo","12.12","St. Martin's Press","7/8/2014","336"
"581","362","2034","9781476733951","Wool","Hugh Howey","11.22","Simon & Schuster","03/12/2013","528","9781476733951","Wool","Hugh Howey","11.75","Simon & Schuster","3/12/2013","508"
"586","366","212","9781476784328","The Girl Next Door: A Novel","Ruth Rendell","14.94","Scribner","10/07/2014","288","9781476770383","Revival","Stephen King","19.48","Scribner","11/11/2014","416"
"643","431","142","9780316211291","Unlucky 13 (Women's Murder Club)","James Patterson","28.0","Little, Brown and Company","05/05/2014","416","9780316225939","The Burning Room (Harry Bosch Series #19)","Michael Connelly","14.0","Little, Brown and Company","11/3/2014","400"
"650","431","1810","9780316211291","Unlucky 13 (Women's Murder Club)","James Patterson","28.0","Little, Brown and Company","05/05/2014","416","9780316211277","Unlucky 13","James Patterson","22.5","Little, Brown and Company","5/5/2014","480"
"655","431","3034","9780316211291","Unlucky 13 (Women's Murder Club)","James Patterson","28.0","Little, Brown and Company","05/05/2014","416","9780316405348","Invisible","James Patterson","16.8","Little, Brown and Company","6/23/2014","432"
"656","435","1526","9780544442788","Beowulf: A Translation and Commentary","Christopher Tolkien","17.71","Houghton Mifflin Harcourt","05/22/2014","448","9780544196377","American Romantic","Ward Just","18.13","Houghton Mifflin Harcourt","4/1/2014","272"
"707","485","591","9781439196830","The Playbook: Suit up. Score chicks. Be awesome.","Barney Stinson","9.04","Touchstone","10/05/2010","141","9781439153666","The Kitchen House","Kathleen Grissom","10.92","Touchstone","2/2/2010","384"
"714","487","367","9781451628319","Walking on Water: A Novel (The Walk)","Richard Paul Evans","12.59","Simon & Schuster","05/06/2014","320","9781476763125","The Cinderella Murder (Under Suspicion Series #1)","Mary Higgins Clark","19.58","Simon & Schuster","11/18/2014","320"
"722","494","1110","9781451617788","All Fall Down: A Novel","Jennifer Weiner","16.18","Atria Books","06/17/2014","400","9781476748047","Addicted: Every Woman Needs an Escape","Zane","9.67","Atria Books","8/26/2014","336"
"748","514","3109","9781476779720","Change of Heart","Jude Deveraux","6.0","Pocket Books","10/21/2014","400","9781476754741","Bones of the Lost (Temperance Brennan Series #16)","Kathy Reichs","7.99","Pocket Books","6/17/2014","432"
"765","536","1232","9781476706511","Newsfail: Climate Change, Feminism, Gun Control, and Other Fun Stuff We Talk About Because Nobody Else Will","Jamie Kilstein","16.5","Simon & Schuster","10/14/2014","224","9781476756660","We Are Not Ourselves","Matthew Thomas","17.22","Simon & Schuster","8/19/2014","640"
"844","574","2115","9781455515813","Cross My Heart (Alex Cross)","James Patterson","14.4","Grand Central Publishing","09/30/2014","448","9781455520633","The Longest Ride","Nicholas Sparks","6.8","Grand Central Publishing","9/30/2014","496"
"861","613","1558","9780312427733","Middlesex: A Novel (Oprah's Book Club)","Jeffrey Eugenides","8.7","Picador","06/05/2007","544","9780312427290","Red Tent (10th Anniversary Edition)","Anita Diamant","10.49","Picador","8/21/2007","352"
"872","629","604","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250041371","Fire Rising","Donna Grant","7.99","St. Martin's Press","6/3/2014","384"
"880","629","1685","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250027702","Betrayed (Rosato & Associates Series #13)","Lisa Scottoline","17.87","St. Martin's Press","11/25/2014","352"
"886","629","2245","9781250029911","Son of No One (Dark-Hunter Novels)","Sherrilyn Kenyon","16.65","St. Martin's Press","09/02/2014","432","9781250010711","The Silent Sister","Diane Chamberlain","16.59","St. Martin's Press","10/7/2014","352"
"923","635","2688","9781250052001","Full Measure: A Novel","T. Jefferson Parker","18.65","St. Martin's Press","10/07/2014","288","9781250022066","The Long Way Home (Armand Gamache Series #10)","Louise Penny","16.08","St. Martin's Press","8/26/2014","384"
"982","661","2953","9781451684483","World of Warcraft: War Crimes","Christie Golden","16.7","Pocket Books","05/06/2014","368","9781451685244","The Prince Who Loved Me","Karen Hawkins","7.99","Pocket Books","9/23/2014","384"
"995","665","1424","9781250045942","A Quilt for Christmas","Sandra Dallas","14.06","St. Martin's Press","10/14/2014","256","9781250043399","Invisible City","Julia Dahl","18.47","St. Martin's Press","5/6/2014","304"
"1034","683","1158","9781455516902","Adulting: How to Become a Grown-up in 468 Easy(ish) Steps","Kelly Williams Brown","15.0","Grand Central Publishing","05/07/2013","288","9780446555005","Two Graves (Special Agent Pendergast Series #12)","Douglas Preston","7.99","Grand Central Publishing","7/30/2013","624"
"1041","683","3141","9781455516902","Adulting: How to Become a Grown-up in 468 Easy(ish) Steps","Kelly Williams Brown","15.0","Grand Central Publishing","05/07/2013","288","9780446571777","Private: #1 Suspect","James Patterson","7.99","Grand Central Publishing","10/29/2013","416"
"1043","685","362","9781416596134","Consumed: A Novel","David Cronenberg","16.45","Scribner","09/30/2014","320","9781476765853","The Hundred-Foot Journey","Richard C. Morais","12.19","Scribner","7/8/2014","272"
"1067","716","1842","9781476792507","After We Fell (The After Series)","Anna Todd","11.43","Gallery Books","12/30/2014","336","9781476714929","What's Done In the Dark","ReShonda Tate Billingsley","10.13","Gallery Books","7/15/2014","304"
"1082","726","2527","9780451417060","The King: A Novel of the Black Dagger Brotherhood","J.R. Ward","5.78","Signet","08/26/2014","640","9780451416315","One Potion in the Grave: A Magic Potion Mystery","Heather Blake","7.99","Signet","10/7/2014","336"
"1108","740","382","9781250034489","Be Careful What You Wish For (The Clifton Chronicles)","Jeffrey Archer","16.78","St. Martin's Press","03/11/2014","400","9781250049001","Always Watching","Chevy Stevens","12.07","St. Martin's Press","5/6/2014","368"
"1129","740","2575","9781250034489","Be Careful What You Wish For (The Clifton Chronicles)","Jeffrey Archer","16.78","St. Martin's Press","03/11/2014","400","9781250054531","Accused (Rosato & Associates Series #12)","Lisa Scottoline","12.28","St. Martin's Press","9/9/2014","384"
"1172","783","1361","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455529780","Private Down Under","James Patterson","11.84","Grand Central Publishing","8/26/2014","384"
"1182","783","2309","9781455525775","The Lost Island: A Gideon Crew Novel (Gideon Crew series)","Douglas Preston","24.3","Grand Central Publishing","08/05/2014","368","9781455550746","Best Kept Secrets","Sandra Brown","6.35","Grand Central Publishing","3/25/2014","448"
"1197","798","2466","9781476703398","Paw and Order: A Chet and Bernie Mystery (The Chet and Bernie Mystery Series)","Spencer Quinn","18.14","Atria Books","08/05/2014","320","9781476765365","Pulse (Collide Series #2)","Gail McHugh","9.67","Atria Books","8/12/2014","432"
"1218","818","1470","9781566893688","A Girl Is a Half-formed Thing","Eimear McBride","15.18","Coffee House Press","09/09/2014","227","9781566893688","A Girl Is a Half-formed Thing","Eimear McBride","15.63","Coffee House Press","9/9/2014","227"
"1338","907","732","9780316370134","Neverhome: A Novel","Laird Hunt","23.4","Little, Brown and Company","09/09/2014","256","9780316211048","Burn (Michael Bennett Series #7)","James Patterson","16.8","Little, Brown and Company","9/29/2014","432"
"1483","980","249","9781250049377","Landline","Rainbow Rowell","15.8","St. Martin's Press","07/08/2014","320","9781250040480","Full Assault Mode (Delta Force Series #3)","Dalton Fury","18.47","St. Martin's Press","5/13/2014","352"
"1498","980","1918","9781250049377","Landline","Rainbow Rowell","15.8","St. Martin's Press","07/08/2014","320","9781250020055","The Perfect Witness","Iris Johansen","20.51","St. Martin's Press","9/30/2014","352"
"1599","1070","2114","9780316250818","California: A Novel","Edan Lepucki","15.6","Little, Brown and Company","07/08/2014","400","9780316370134","Neverhome","Laird Hunt","19.99","Little, Brown and Company","9/9/2014","256"
"1638","1091","2309","9781455582341","How Google Works","Eric Schmidt","17.99","Grand Central Publishing","09/23/2014","304","9781455550746","Best Kept Secrets","Sandra Brown","6.35","Grand Central Publishing","3/25/2014","448"
"1673","1103","1958","9781118531648","JavaScript and JQuery: Interactive Front-End Web Development","Jon Duckett","26.67","Wiley","06/30/2014","640","9781118817094","Cloud Management and Security","Imad M. Abbadi","85.85","Wiley","8/11/2014","240"
"1696","1104","568","9781118907443","Web Design with HTML, CSS, JavaScript and jQuery Set","Jon Duckett","38.69","Wiley","07/08/2014","1152","9781118920138","Quicken X For Dummies","Stephen L. Nelson","17.26","Wiley","10/6/2014","384"
"1733","1105","422","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470768723","VMware vSphere For Dummies","Daniel  Mitchell","24.22","Wiley","3/8/2011","360"
"1735","1105","541","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470891919","Nanotechnology For Dummies","Earl Boysen","15.55","Wiley","8/9/2011","360"
"1755","1105","1869","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470747735","Hybrid Electric Vehicles: Principles and Applications with Practical Perspectives","Chris Mi","0.0","Wiley","8/23/2011","468"
"1757","1105","1983","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9780470977422","CompTIA Strata Study Guide","Andrew Smith","29.92","Wiley","12/13/2011","584"
"1767","1105","2884","9781118008188","HTML and CSS: Design and Build Websites","Jon Duckett","17.39","Wiley","11/08/2011","512","9783527331017","Computational Thermo-Fluid Dynamics","Petr A. Nikrityuk","128.96","Wiley","10/4/2011","370"
"1829","1125","1658","9781118490365","Excel 2013 Bible","John Walkenbach","28.99","Wiley","03/04/2013","1056","9781118554210","Raspberry Pi For Dummies","Sean McManus","15.24","Wiley","4/15/2013","432"
"1831","1125","1737","9781118490365","Excel 2013 Bible","John Walkenbach","28.99","Wiley","03/04/2013","1056","9781118365984","Digital SLR Video and Filmmaking For Dummies","John Carucci","18.45","Wiley","2/18/2013","416"
"1843","1125","2077","9781118490365","Excel 2013 Bible","John Walkenbach","28.99","Wiley","03/04/2013","1056","9781118301302","You Should Test That: Conversion Optimization for More Leads, Sales and Profit or The Art and Science of Optimized Marketing","Chris Goward","21.31","Wiley","1/14/2013","360"
