id:INTEGER,ISBN_13,Title,Author,Price:FLOAT,Publisher,Publication_date,Pages:INTEGER
1,9780307588371,Gone Girl: A Novel,Gillian Flynn,8.97,Broadway Books,04/22/2014,432
2,9780385537148,Gray Mountain: A Novel,John Grisham,17.37,Doubleday,10/21/2014,384
3,9781476789873,Rush Revere and the American Revolution: Time-Travel Adventures With Exceptional Americans,Rush Limbaugh,11.99,Threshold Editions,10/28/2014,256
4,9780553805444,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones (A Song of Ice and Fire),George R.R. Martin,29.98,Bantam,10/28/2014,336
5,9780544272996,What If?: Serious Scientific Answers to Absurd Hypothetical Questions,Randall Munroe,14.4,Houghton Mifflin Harcourt,09/02/2014,320
6,9780525953098,Edge of Eternity: Book Three of The Century Trilogy,Ken Follett,20.72,Dutton Adult,09/16/2014,1120
7,9780345544926,Leaving Time: A Novel,Jodi Picoult,16.8,Ballantine Books,10/14/2014,416
8,9780062268341,Yes Please,Amy Poehler,17.85,Dey Street Books,10/28/2014,352
9,9781476746586,All the Light We Cannot See: A Novel,Anthony Doerr,16.2,Scribner,05/06/2014,544
10,9780061122415,The Alchemist,Paulo Coelho,8.98,HarperOne,04/25/2006,197
11,9781476770383,Revival: A Novel,Stephen King,18,Scribner,11/11/2014,416
12,9780374187613,Lila: A Novel,Marilynne Robinson,15.6,"Farrar, Straus and Giroux",10/07/2014,272
13,9780425259870,Blood Magick (Cousins O'Dwyer),Nora Roberts,10.11,Berkley Trade,10/28/2014,336
14,9780756410438,The Slow Regard of Silent Things,Patrick Rothfuss,11.37,DAW Hardcover,10/28/2014,176
15,9780399167447,Somewhere Safe with Somebody Good: The New Mitford Novel (A Mitford Novel),Jan Karon,16.77,Putnam Adult,09/02/2014,528
16,9780399162374,Deadline (A Virgil Flowers Novel),John Sandford,16.77,Putnam Adult,10/07/2014,400
17,9780061950728,Orphan Train: A Novel,Christina Baker Kline,8.99,William Morrow Paperbacks,04/02/2013,278
18,9780307341570,Dark Places: A Novel,Gillian Flynn,8.4,Broadway Books,05/04/2010,349
19,9780307962522,Prince Lestat: The Vampire Chronicles,Anne Rice,17.37,Knopf,10/28/2014,480
20,9780385352857,The Narrow Road to the Deep North: A novel,Richard Flanagan,17.04,Knopf,08/12/2014,352
21,9780345535528,"George R. R. Martin's A Game of Thrones 5-Book Boxed Set (Song of Ice and Fire series): A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast for Crows, and A Dance with Dragons",George R.R. Martin,29.81,Bantam,10/29/2013,5216
22,9780307341556,Sharp Objects: A Novel,Gillian Flynn,8.33,Broadway Books,07/31/2007,254
23,9780440212560,Outlander,Diana Gabaldon,5.99,Dell,06/02/1992,850
24,9780062242358,"Good Dog: True Stories of Love, Loss, and Loyalty",David DiBenedetto,15.28,HarperWave,10/21/2014,336
25,9781607060765,The Walking Dead:  Compendium One,Robert Kirkman,35.7,Image Comics,05/19/2009,1088
26,9780142415436,If I Stay,Gayle Forman,6.01,Speak,04/06/2010,320
27,9780316211048,Burn (Michael Bennett),James Patterson,16.8,"Little, Brown and Company",09/29/2014,432
28,9780316055437,The Goldfinch: A Novel (Pulitzer Prize for Fiction) (National Book Critics Circle Award: Fiction Finalists),Donna Tartt,17.95,"Little, Brown and Company",10/22/2013,775
29,9780425273869,Captivated By You (A Crossfire Novel),Sylvia Day,9.99,Berkley Trade,11/18/2014,368
30,9780446310789,To Kill a Mockingbird,Harper Lee,4.94,Grand Central Publishing,10/11/1988,384
31,9780399167065,Big Little Lies,Liane Moriarty,16.16,Putnam Adult,07/29/2014,480
32,9780307700315,Some Luck: A novel,Jane Smiley,16.95,Knopf,10/07/2014,416
33,9780440215622,Dragonfly in Amber (Outlander),Diana Gabaldon,6.04,Dell,11/02/1993,976
34,9780446547635,The Best of Me,Nicholas Sparks,7.2,Grand Central Publishing,03/26/2013,368
35,9781594633119,The Paying Guests,Sarah Waters,17.37,Riverhead Hardcover,09/16/2014,576
36,9780804178747,Personal (Jack Reacher),Lee Child,16.45,Delacorte Press,09/02/2014,368
37,9781476788005,Grace's Guide: The Art of Pretending to Be a Grown-up,Grace Helbig,11.65,Touchstone,10/21/2014,240
38,9780670024780,The Invention of Wings: A Novel,Sue Monk Kidd,16.71,Viking Adult,01/07/2014,384
39,9781616386108,The Harbinger: The Ancient Mystery That Holds the Secret of America's Future,Jonathan Cahn,8.99,Frontline Pub Inc,01/03/2012,262
40,9780385539708,The Children Act,Ian McEwan,15,Nan A. Talese,09/09/2014,240
41,9781607065968,The Walking Dead: Compendium Two,Robert Kirkman,39.26,Image Comics,10/16/2012,1068
42,9781476728209,The Mistletoe Promise,Richard Paul Evans,13.48,Simon & Schuster,11/18/2014,272
43,9780525953913,Liberators: A Novel of the Coming Global Collapse,James Wesley Rawles,17.61,Dutton Adult,10/21/2014,416
44,9780399159343,The Husband's Secret,Liane Moriarty,14.63,Putnam Adult,07/30/2013,416
45,9780440217565,Voyager (Outlander),Diana Gabaldon,6.04,Dell,10/01/1994,1104
46,9781476729091,The Rosie Project: A Novel,Graeme Simsion,9.87,Simon & Schuster,06/03/2014,320
47,9781476784267,Malice Toward None: Abraham Lincoln's Second Inaugural Address,Jack E. Levin,10.53,Threshold Editions,09/09/2014,64
48,9781617750250,Go the F**k to Sleep,Adam Mansbach,9.23,Akashic Books,06/14/2011,32
49,9781400065677,The Bone Clocks: A Novel,David Mitchell,18,Random House,09/02/2014,640
50,9780143124542,Me Before You: A Novel,Jojo Moyes,9.52,Penguin Books,07/30/2013,400
51,9780743273565,The Great Gatsby,F. Scott Fitzgerald,9,Scribner,09/30/2004,180
52,9781451673319,Fahrenheit 451: A Novel,Ray Bradbury,9.79,Simon & Schuster,01/10/2012,249
53,9781567922813,Missing Person (Verba Mundi) (Verba Mundi Book),Patrick Modiano,16.95,David R Godine,11/30/2004,168
54,9780345804044,"Fifty Shades Trilogy: Fifty Shades of Grey, Fifty Shades Darker, Fifty Shades Freed 3-volume Boxed Set",E L James,27.99,Vintage,06/12/2012,1625
55,9781439138335,Nora Webster: A Novel,Colm Toibin,16.2,Scribner,10/07/2014,384
56,9780385353304,Station Eleven: A novel,Emily St. John Mandel,15.05,Knopf,09/09/2014,352
57,9780307455925,Americanah,Chimamanda Ngozi Adichie,10,Anchor,03/04/2014,608
58,9780375842207,The Book Thief,Markus Zusak,8.52,Alfred A. Knopf,09/11/2007,576
59,9781632150349,The Walking Dead Book 10 HC,Robert Kirkman,23.37,Image Comics,09/09/2014,304
60,9780399501487,Lord of the Flies,William Golding,6,Perigee Books,07/27/1959,208
61,9780452296367,This Is Where I Leave You: A Novel,Jonathan Tropper,9.96,Plume,07/06/2010,352
62,9780553419887,"The Complete Gillian Flynn: Gone Girl, Dark Places, Sharp Objects",Gillian Flynn,28.45,Broadway Books,10/21/2014,1072
63,9780062315007,The Alchemist,Paulo Coelho,10.74,HarperOne,04/15/2014,208
64,9780385344432,Written in My Own Heart's Blood: A Novel (Outlander),Diana Gabaldon,22.27,Delacorte Press,06/10/2014,848
65,9780425247440,What Alice Forgot,Liane Moriarty,8.7,Berkley Trade,04/24/2012,496
66,9780307911544,The Handsome Man's De Luxe Café: No. 1 Ladies' Detective Agency (15),Alexander McCall Smith,17.11,Pantheon,10/28/2014,240
67,9780440224259,Drums of Autumn (Outlander),Diana Gabaldon,6.04,Dell Publishers,11/10/1997,1070
68,9780451524935,1984 (Signet Classics),George Orwell,6,Signet Classic,07/01/1950,328
69,9780062325341,Flesh and Blood: A Scarpetta Novel,Patricia Cornwell,17.87,William Morrow,11/11/2014,384
70,9781476792484,After (The After Series),Anna Todd,9.6,Gallery Books,10/21/2014,592
71,9780345803481,Fifty Shades of Grey: Book One of the Fifty Shades Trilogy,E L James,8.97,Vintage,04/03/2012,514
72,9780385352109,Colorless Tsukuru Tazaki and His Years of Pilgrimage: A novel,Haruki Murakami,15.57,Knopf,08/12/2014,400
73,9781627792103,The Assassination of Margaret Thatcher: Stories,Hilary Mantel,16.2,Henry Holt and Co.,09/30/2014,256
74,9780385538039,Beautiful You: A Novel,Chuck Palahniuk,16.41,Doubleday,10/21/2014,240
75,9780440221661,The Fiery Cross (Outlander),Diana Gabaldon,7.85,Dell,08/30/2005,1443
76,9780142407332,The Outsiders,S. E. Hinton,6.42,Speak,04/20/2006,208
77,9780670026326,The Secret Place (Dublin Murder Squad),Tana French,16.06,Viking Adult,09/02/2014,464
78,9781451681758,The Light Between Oceans: A Novel,M.L. Stedman,9.5,Scribner,04/02/2013,352
79,9780812993868,Shopaholic to the Stars: A Novel,Sophie Kinsella,18.39,The Dial Press,10/21/2014,496
80,9780749717100,Of Mice and Men,John Steinbeck,7.97,Penguin Books,09/01/1993,112
81,9780316769488,The Catcher in the Rye,J.D. Salinger,5.49,"Little, Brown and Company",05/01/1991,224
82,9780553391152,Mr. Miracle: A Christmas Novel,Debbie Macomber,11.88,Ballantine Books,10/07/2014,272
83,9780440225805,A Breath of Snow and Ashes (Outlander),Diana Gabaldon,8.08,Dell,04/29/2008,1488
84,9780399172922,Havana Storm (Dirk Pitt Adventure),Clive Cussler,19.61,Putnam Adult,10/28/2014,464
85,9780451232854,Fall of Giants: Book One of the Century Trilogy,Ken Follett,6.16,Signet,09/04/2012,960
86,9780062293039,"My Drunk Kitchen: A Guide to Eating, Drinking, and Going with Your Gut",Hannah Hart,14.47,Dey Street Books,08/12/2014,240
87,9781476754451,Mr. Mercedes: A Novel,Stephen King,18,Scribner,06/03/2014,448
88,9781452134253,Letters of Note: An Eclectic Collection of Correspondence Deserving of a Wider Audience,Shaun Usher,25.3,Chronicle Books,05/06/2014,352
89,9781101872222,Adulterio (Spanish Edition),Paulo Coelho,15.78,Vintage Espanol,08/19/2014,272
90,9781594486296,Small Victories: Spotting Improbable Moments of Grace,Anne Lamott,16.98,Riverhead Hardcover,11/10/2014,304
91,9780399173356,Tom Clancy Full Force and Effect (A Jack Ryan Novel),Mark Greaney,18.48,Putnam Adult,12/02/2014,688
92,9780307886279,Is Everyone Hanging Out Without Me? (And Other Concerns),Mindy Kaling,11.2,Three Rivers Press,09/18/2012,222
93,9780399166563,Women in Clothes,Sheila Heti,18.98,Blue Rider Press,09/04/2014,528
94,9780440245681,An Echo in the Bone: A Novel (Outlander),Diana Gabaldon,7.91,Dell,05/24/2011,1200
95,9780399158445,The Peripheral,William Gibson,17.69,Putnam Adult,10/28/2014,496
96,9780061561559,Clariel: The Lost Abhorsen (The Old Kingdom),Garth Nix,12.34,HarperCollins,10/14/2014,400
97,9780394551906,You're Only Old Once!: A Book for Obsolete Children (Classic Seuss),Dr. Seuss,12.45,Random House,02/12/1986,56
98,9781476772578,The Means: A Novel,Douglas Brunt,17.54,Touchstone,09/16/2014,352
99,9780399169120,Paris Match (Stone Barrington),Stuart Woods,19.86,Putnam Adult,10/07/2014,320
