id:INTEGER,ISBN_13,Title,Author,Price:FLOAT,Publisher,Publication_date,Pages:INTEGER
1,9780061962240,Cyber War: The Next Threat to National Security and What to Do About It,Richard A. Clarke,10.78,HarperCollins Publishers,04/10/2012,320
2,9781250046635,Virtually Human: The Promise---and the Peril---of Digital Immortality,Martine Rothblatt,20.53,St. Martin's Press,09/09/2014,368
3,9780321968135,Exposure: From Snapshots to Great Shots,Jeff Revell,17.51,Peachpit Press,03/24/2014,264
4,9780062257161,Bloodline (Sigma Force Series),James Rollins,10.95,HarperCollins Publishers,03/28/2013,652
5,9780789749079,"Using WordPress, with DVD",Tris Hussey,21.36,Que,08/02/2011,368
6,9781420089356,Lubrication and Maintenance of Industrial Machinery: Best Practices and Reliability,Robert M. Gresham (Editor),0,CRC Press,10/22/2008,296
7,9781449367565,Concurrency in C# Cookbook,Stephen Cleary,31.54,"O'Reilly Media, Incorporated",06/13/2014,208
8,9781572182035,Electrician's Exam Prep Guide to the 2008 NEC,John E. Traister,34.11,Craftsman Book Company,04/01/2008,352
9,9780594573333,Where We Belong,Emily Giffin,6.28,St. Martin's Press,07/24/2012,384
10,9780385538077,Love Me Back: A Novel,Merritt Tierce,15.3,Knopf Doubleday Publishing Group,09/16/2014,224
11,9781118640159,Dreamweaver CC Digital Classroom,Mike Arguin,33.1,Wiley,08/19/2013,512
12,9781118537145,"Minecraft For Dummies, Portable Edition",Cordeiro,9.99,Wiley,02/11/2013,160
13,9781478735908,"Letters, to the Men I Have Loved",Mirtha Michelle Castro Marmol,15.26,"Outskirts Press, Inc.",06/09/2014,130
14,9780425252901,Tenacious (Kris Longknife Series #12),Mike Shepherd,7.99,Ace,10/28/2014,384
15,9780878147625,Drilling Technology in Nontechnical Language,Steve Devereux,0,PennWell Corporation,01/01/2000,337
16,9781572182059,Estimating Home Building Costs Revised,W. P. Jackson,0,Craftsman Book Company,06/30/2010,304
17,9781250056238,The Patriot Threat,Steve Berry,20.51,St. Martin's Press,03/31/2015,352
18,9781118148655,CompTIA Network+ Certification Kit: Exam N10-005,Todd Lammle,66.75,Wiley,03/20/2012,1584
19,9780307476531,Damned,Chuck Palahniuk,8.54,Knopf Doubleday Publishing Group,10/02/2012,256
20,9780470464564,Technology Scorecards: Aligning IT Investments with Business Performance,Sam Bansal,37.69,Wiley,04/27/2009,336
21,9781416542261,Act of Treason (Mitch Rapp Series #7),Vince Flynn,9.99,Pocket Books,08/28/2007,512
22,9781118124086,Adobe Flash Professional CS6 Digital Classroom,Fred Gerantabee,33.91,Wiley,07/03/2012,480
23,9780380729401,Something Wicked This Way Comes,Ray Bradbury,7.99,HarperCollins Publishers,09/28/2006,304
24,9781593081379,The Last of the Mohicans (Barnes & Noble Classics Series),James Fenimore Cooper,7.15,Barnes & Noble,12/01/2004,416
25,9780307591227,The Power of Many: Values for Success in Business and in Life,Meg Whitman,11.57,Crown Publishing Group,09/07/2010,288
26,9781616386108,The Harbinger: The Ancient Mystery That Holds the Secret of America's Future,Jonathan Cahn,9.17,Charisma Media,01/03/2012,272
27,9781449367619,"Mining the Social Web: Data Mining Facebook, Twitter, LinkedIn, Google+, GitHub, and More",Matthew A. Russell,27.71,"O'Reilly Media, Incorporated",10/17/2013,448
28,9780262633543,The Robotics Primer,Maja J. Mataric,0,MIT Press,09/30/2007,328
29,9780594606154,American Destiny,Janet Dailey,4.48,Kensington Publishing Corporation,10/01/2009,352
30,9781118091340,iPhone Application Development For Dummies,Neal Goldstein,22.04,Wiley,03/06/2012,464
31,9781585428557,The Winter of Our Disconnect: How Three Totally Wired Teenagers (and a Mother Who Slept with Her iPhone)Pulled the Plug on Their Technology and Lived to Tell the Tale,Susan Maushart,10.72,Penguin Group (USA) Incorporated,01/20/2011,288
32,9780470643204,Professional Test Driven Development with C#: Developing Real World Applications with TDD,James Bender,29.36,Wiley,05/10/2011,360
33,9781932802061,"Office VBA Macros You Can Use Today: Over 100 Amazing Ways to Automate Word, Excel, PowerPoint, Outlook, and Access",Juan Pablo Gonzalez,28.32,Holy Macro! Books,11/01/2005,512
34,9780062060624,The Song of Achilles,Madeline Miller,10.12,HarperCollins Publishers,08/28/2012,416
35,9780743215800,"The Business of Software: What Every Manager, Programmer, and Entrepreneur Must Know to Thrive and Survive in Good Times and Bad",Michael A. Cusumano,20.19,Free Press,03/15/2004,352
36,9781118541906,"Microsoft Exchange Server 2013: Design, Deploy and Deliver an Enterprise Messaging Solution",Nathan Winters,37.4,Wiley,07/29/2013,408
37,9781940651828,DEMON STORM: Belador Book 5,Dianna Love,10.08,Silver Hawk Press LLC,10/21/2014,288
38,9780452294752,The Sleeping Beauty Trilogy Box Set,Anne Rice,29.56,Penguin Group (USA),08/22/2012,1
39,9780470874219,Becoming a Construction Manager,John J. McKeon,26.81,Wiley,02/07/2012,224
